"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/06/2020","487,75","481,75","489,15","480,30","216,60K","2,38%"
"01/06/2020","476,40","480,00","481,05","469,65","146,21K","1,45%"
"29/05/2020","469,60","477,10","480,05","468,95","331,27K","-2,36%"
"28/05/2020","480,95","473,95","483,60","468,70","254,31K","2,86%"
"27/05/2020","467,60","450,40","470,30","446,45","360,04K","4,24%"
"26/05/2020","448,60","438,55","449,70","436,70","282,42K","3,85%"
"25/05/2020","431,95","428,00","431,95","420,65","134,61K","2,14%"
"22/05/2020","422,90","424,00","430,15","421,70","204,24K","-2,39%"
"21/05/2020","433,25","431,00","438,65","428,00","135,12K","-0,64%"
"20/05/2020","436,05","437,85","441,20","429,55","209,24K","-0,91%"
"19/05/2020","440,05","435,00","443,60","430,05","389,00K","2,38%"
"18/05/2020","429,80","415,70","432,40","415,70","230,96K","4,49%"
"15/05/2020","411,35","418,10","422,85","408,55","210,38K","-0,96%"
"14/05/2020","415,35","420,00","425,50","405,10","214,75K","-1,65%"
"13/05/2020","422,30","431,40","433,05","420,10","260,84K","-3,13%"
"12/05/2020","435,95","438,10","443,25","432,25","178,24K","-0,75%"
"11/05/2020","439,25","448,80","452,25","435,85","159,39K","-1,84%"
"08/05/2020","447,50","448,00","453,50","445,30","146,35K","1,10%"
"07/05/2020","442,65","434,00","456,80","434,00","306,96K","2,11%"
"06/05/2020","433,50","451,00","452,00","433,50","291,93K","-4,05%"
"05/05/2020","451,80","458,20","460,25","444,25","186,59K","0,19%"
"04/05/2020","450,95","458,40","459,35","444,45","234,71K","-2,01%"
"30/04/2020","460,20","476,00","482,00","455,40","272,76K","-3,41%"
"29/04/2020","476,45","468,80","479,95","455,45","149,63K","2,03%"
"28/04/2020","466,95","463,60","478,45","462,80","132,77K","0,45%"
"27/04/2020","464,85","455,80","467,75","455,80","117,74K","2,99%"
"24/04/2020","451,35","450,00","456,45","445,45","182,10K","-1,25%"
"23/04/2020","457,05","467,00","468,55","451,55","173,84K","-1,70%"
"22/04/2020","464,95","461,00","465,50","455,20","282,57K","-4,92%"
"21/04/2020","489,00","505,50","507,70","486,40","156,27K","-3,91%"
"20/04/2020","508,90","508,60","510,50","500,10","144,65K","1,09%"
"17/04/2020","503,40","493,95","513,10","493,00","351,16K","5,48%"
"16/04/2020","477,25","475,25","485,85","473,15","188,75K","0,47%"
"15/04/2020","475,00","489,00","491,75","470,60","165,89K","-1,81%"
"14/04/2020","483,75","475,75","494,60","472,90","207,47K","2,12%"
"09/04/2020","473,70","480,00","485,80","458,30","234,75K","-0,35%"
"08/04/2020","475,35","474,75","480,05","465,35","160,04K","-0,35%"
"07/04/2020","477,00","480,00","498,80","475,00","253,47K","1,84%"
"06/04/2020","468,40","469,00","473,45","462,85","192,52K","3,47%"
"03/04/2020","452,70","451,70","459,50","444,50","154,21K","-0,64%"
"02/04/2020","455,60","455,55","462,65","445,10","245,10K","0,13%"
"01/04/2020","455,00","474,00","474,00","450,15","262,85K","-4,39%"
"31/03/2020","475,90","485,00","502,60","460,50","351,90K","-1,16%"
"30/03/2020","481,50","479,85","484,30","460,95","222,73K","0,42%"
"27/03/2020","479,50","475,00","489,60","465,00","314,11K","-2,61%"
"26/03/2020","492,35","457,95","493,50","453,50","299,78K","4,29%"
"25/03/2020","472,10","467,35","478,85","452,15","396,66K","5,30%"
"24/03/2020","448,35","424,85","449,25","412,70","330,10K","10,44%"
"23/03/2020","405,95","395,00","419,70","382,60","383,68K","-3,28%"
"20/03/2020","419,70","400,00","422,80","395,05","645,02K","10,36%"
"19/03/2020","380,30","362,40","380,30","350,00","432,74K","6,35%"
"18/03/2020","357,60","376,20","381,65","351,85","483,75K","-8,55%"
"17/03/2020","391,05","395,10","404,80","367,10","493,46K","3,56%"
"16/03/2020","377,60","372,65","386,10","348,55","714,12K","-6,77%"
"13/03/2020","405,00","398,80","444,15","381,35","770,27K","5,33%"
"12/03/2020","384,50","410,00","418,90","378,40","953,83K","-12,31%"
"11/03/2020","438,50","451,85","455,40","435,35","443,42K","-2,54%"
"10/03/2020","449,95","463,55","485,10","448,20","541,92K","-1,55%"
"09/03/2020","457,05","441,95","465,35","440,45","744,76K","-5,47%"
"06/03/2020","483,50","489,50","495,25","475,50","452,47K","-3,59%"
"05/03/2020","501,50","518,10","518,90","500,20","303,11K","-2,36%"
"04/03/2020","513,60","516,00","518,70","506,10","272,60K","0,31%"
"03/03/2020","512,00","510,00","523,50","506,80","396,87K","1,47%"
"02/03/2020","504,60","517,30","522,00","489,55","387,81K","-0,24%"
"28/02/2020","505,80","493,05","509,60","484,25","551,45K","-1,15%"
"27/02/2020","511,70","518,00","520,00","504,20","456,25K","-3,45%"
"26/02/2020","530,00","519,30","534,10","508,60","361,13K","1,05%"
"25/02/2020","524,50","537,00","539,10","521,50","411,29K","-1,98%"
"24/02/2020","535,10","535,60","545,00","525,50","487,47K","-4,72%"
"21/02/2020","561,60","561,10","567,80","555,60","313,11K","-0,86%"
"20/02/2020","566,50","585,50","585,60","566,50","264,82K","-3,49%"
"19/02/2020","587,00","574,80","587,00","568,00","223,44K","3,04%"
"18/02/2020","569,70","571,10","575,40","569,60","214,25K","-1,78%"
"17/02/2020","580,00","578,00","583,10","575,10","139,13K","0,10%"
"14/02/2020","579,40","595,00","595,60","577,90","230,57K","-2,85%"
"13/02/2020","596,40","594,00","597,50","575,50","330,66K","-0,27%"
"12/02/2020","598,00","579,00","598,00","570,80","474,92K","6,27%"
"11/02/2020","562,70","566,20","571,30","560,40","180,61K","0,04%"
"10/02/2020","562,50","562,00","565,50","559,00","182,98K","-0,57%"
"07/02/2020","565,70","566,00","571,40","560,40","241,37K","-1,10%"
"06/02/2020","572,00","577,70","579,60","567,80","204,03K","-0,28%"
"05/02/2020","573,60","568,70","579,90","564,30","264,71K","0,81%"
"04/02/2020","569,00","555,00","569,80","554,30","227,76K","2,69%"
"03/02/2020","554,10","555,00","557,80","550,00","249,84K","-0,16%"
"31/01/2020","555,00","563,70","567,00","552,90","288,59K","-1,10%"
"30/01/2020","561,20","556,90","565,00","555,20","279,38K","-1,20%"
"29/01/2020","568,00","559,90","570,80","555,90","285,80K","1,10%"
"28/01/2020","561,80","555,00","561,80","545,60","303,34K","1,66%"
"27/01/2020","552,60","547,60","559,70","542,20","493,10K","-3,61%"
"24/01/2020","573,30","579,70","583,10","571,10","239,73K","-0,02%"
"23/01/2020","573,40","587,00","587,50","570,90","324,99K","-3,17%"
"22/01/2020","592,20","592,00","596,90","589,40","233,96K","0,95%"
"21/01/2020","586,60","585,00","586,90","573,80","295,24K","-2,07%"
"20/01/2020","599,00","611,70","613,60","599,00","143,42K","-1,84%"
"17/01/2020","610,20","613,40","614,90","605,90","238,49K","0,84%"
"16/01/2020","605,10","594,20","608,30","593,60","220,99K","1,77%"
"15/01/2020","594,60","594,80","597,30","591,90","230,44K","0,42%"
"14/01/2020","592,10","590,00","593,90","584,30","215,63K","-0,29%"
"13/01/2020","593,80","591,70","598,20","591,50","161,68K","0,29%"
"10/01/2020","592,10","597,00","597,90","591,50","195,80K","-0,64%"
"09/01/2020","595,90","598,00","600,80","591,10","201,63K","-0,23%"
"08/01/2020","597,30","585,00","597,30","576,30","201,24K","0,17%"
"07/01/2020","596,30","593,50","601,40","593,40","201,86K","0,93%"
"06/01/2020","590,80","595,70","598,40","584,00","176,51K","-1,68%"
"03/01/2020","600,90","595,00","600,90","592,50","159,02K","0,48%"
"02/01/2020","598,00","592,70","598,00","591,20","178,65K","2,19%"
"31/12/2019","585,20","585,70","588,80","582,20","45,38K","-0,19%"
"30/12/2019","586,30","591,30","593,00","585,80","144,85K","-0,74%"
"27/12/2019","590,70","590,50","593,80","587,70","138,35K","0,56%"
"24/12/2019","587,40","582,00","587,70","581,00","37,88K","0,93%"
"23/12/2019","582,00","579,20","585,50","578,60","102,45K","0,33%"
"20/12/2019","580,10","577,20","585,00","573,50","403,39K","0,40%"
"19/12/2019","577,80","578,30","579,10","574,10","152,87K","-0,12%"
"18/12/2019","578,50","574,00","580,90","572,50","217,78K","0,82%"
"17/12/2019","573,80","582,00","582,60","570,00","245,50K","-0,83%"
"16/12/2019","578,60","564,80","581,70","564,60","261,52K","2,95%"
"13/12/2019","562,00","565,00","567,60","558,80","244,37K","1,81%"
"12/12/2019","552,00","547,00","555,90","545,50","230,00K","1,30%"
"11/12/2019","544,90","547,20","549,10","543,50","154,60K","-0,27%"
"10/12/2019","546,40","543,70","547,40","536,30","198,53K","0,42%"
"09/12/2019","544,10","547,90","550,00","544,10","133,64K","-0,91%"
"06/12/2019","549,10","542,00","549,10","540,80","166,18K","1,69%"
"05/12/2019","540,00","538,00","549,00","536,20","179,19K","0,35%"
"04/12/2019","538,10","530,30","541,40","529,90","193,64K","1,47%"
"03/12/2019","530,30","537,00","537,30","522,30","320,16K","-1,87%"
"02/12/2019","540,40","546,00","551,40","537,50","233,79K","-1,15%"
"29/11/2019","546,70","549,20","553,30","546,60","197,55K","-0,94%"
"28/11/2019","551,90","547,00","553,40","545,20","121,43K","0,73%"
"27/11/2019","547,90","549,00","552,30","544,80","135,59K","0,31%"
"26/11/2019","546,20","544,30","548,70","542,30","215,43K","0,40%"
"25/11/2019","544,00","542,10","549,80","541,90","197,39K","0,48%"
"22/11/2019","541,40","541,30","548,70","539,80","164,80K","0,02%"
"21/11/2019","541,30","544,40","544,40","538,70","201,01K","-1,47%"
"20/11/2019","549,40","545,10","552,20","543,10","225,06K","-0,02%"
"19/11/2019","549,50","542,00","549,50","541,70","196,24K","1,59%"
"18/11/2019","540,90","546,00","547,30","536,20","162,22K","-0,90%"
"15/11/2019","545,80","541,90","546,60","538,80","236,31K","1,64%"
"14/11/2019","537,00","533,30","541,30","532,50","142,80K","0,26%"
"13/11/2019","535,60","531,60","535,60","529,50","199,16K","0,39%"
"12/11/2019","533,50","525,00","536,30","523,30","255,92K","2,48%"
"11/11/2019","520,60","514,40","522,40","510,30","118,08K","0,19%"
"08/11/2019","519,60","523,40","524,30","516,30","178,21K","-0,86%"
"07/11/2019","524,10","525,90","527,70","522,80","167,96K","0,38%"
"06/11/2019","522,10","526,40","526,90","520,50","145,66K","-0,70%"
"05/11/2019","525,80","525,50","526,70","520,00","164,15K","0,06%"
"04/11/2019","525,50","517,60","527,50","516,10","279,58K","2,04%"
"01/11/2019","515,00","511,30","519,20","511,20","152,66K","0,94%"
"31/10/2019","510,20","512,50","514,50","507,40","237,22K","-0,14%"
"30/10/2019","510,90","508,40","513,40","507,70","144,12K","0,08%"
"29/10/2019","510,50","509,80","513,00","507,50","173,31K","0,10%"
"28/10/2019","510,00","515,10","520,00","509,60","226,62K","-0,78%"
"25/10/2019","514,00","500,00","523,90","497,95","647,93K","8,74%"
"24/10/2019","472,70","484,00","487,35","470,95","258,80K","-1,59%"
"23/10/2019","480,35","474,30","481,25","470,00","204,34K","0,48%"
"22/10/2019","478,05","476,90","478,70","471,45","154,49K","0,46%"
"21/10/2019","475,85","471,00","479,65","467,95","219,55K","1,32%"
"18/10/2019","469,65","476,50","477,60","466,40","255,95K","-1,67%"
"17/10/2019","477,65","482,30","484,00","477,65","211,96K","-0,91%"
"16/10/2019","482,05","485,60","485,60","476,30","214,36K","-0,79%"
"15/10/2019","485,90","474,60","488,65","473,10","313,50K","3,01%"
"14/10/2019","471,70","470,05","472,90","465,20","148,45K","-0,03%"
"11/10/2019","471,85","463,50","472,30","460,60","255,41K","2,00%"
"10/10/2019","462,60","455,00","462,95","453,90","372,11K","4,20%"
"09/10/2019","443,95","439,50","447,00","437,35","209,76K","1,20%"
"08/10/2019","438,70","447,60","447,90","437,50","190,32K","-1,48%"
"07/10/2019","445,30","441,75","446,55","437,60","137,08K","0,77%"
"04/10/2019","441,90","439,50","442,95","434,65","204,61K","0,92%"
"03/10/2019","437,85","440,05","443,55","434,20","219,23K","0,40%"
"02/10/2019","436,10","454,90","455,85","435,10","362,79K","-3,87%"
"01/10/2019","453,65","470,75","470,75","453,65","213,64K","-2,97%"
"30/09/2019","467,55","464,75","468,75","462,10","151,74K","0,60%"
"27/09/2019","464,75","464,75","467,45","463,25","163,15K","0,17%"
"26/09/2019","463,95","457,95","471,15","456,55","174,67K","1,10%"
"25/09/2019","458,90","457,50","460,40","451,45","211,90K","0,13%"
"24/09/2019","458,30","456,70","461,25","453,70","158,25K","0,89%"
"23/09/2019","454,25","465,35","466,60","453,85","237,99K","-3,13%"
"20/09/2019","468,95","464,75","469,40","461,75","452,68K","1,36%"
"19/09/2019","462,65","464,70","467,05","461,25","217,73K","0,06%"
"18/09/2019","462,35","464,10","465,25","458,30","175,86K","0,26%"
"17/09/2019","461,15","463,05","463,40","457,40","196,10K","-0,45%"
"16/09/2019","463,25","462,00","467,30","460,70","199,19K","-1,14%"
"13/09/2019","468,60","472,95","475,50","466,90","237,14K","-0,75%"
"12/09/2019","472,15","473,00","479,90","462,85","356,19K","0,99%"
"11/09/2019","467,50","453,00","467,50","451,50","325,27K","3,79%"
"10/09/2019","450,45","449,20","450,60","441,25","284,50K","0,28%"
"09/09/2019","449,20","454,30","454,70","447,15","175,05K","-1,00%"
"06/09/2019","453,75","457,30","460,95","451,60","174,58K","-0,36%"
"05/09/2019","455,40","451,00","456,30","447,90","278,96K","2,05%"
"04/09/2019","446,25","448,00","451,50","444,75","328,38K","2,96%"
"03/09/2019","433,40","439,05","439,15","427,70","211,08K","-1,69%"
"02/09/2019","440,85","442,45","443,35","438,30","95,27K","0,10%"
"30/08/2019","440,40","436,70","445,30","434,00","225,92K","1,16%"
"29/08/2019","435,35","429,70","440,80","426,30","243,82K","1,31%"
"28/08/2019","429,70","430,05","430,05","421,55","143,80K","-0,08%"
"27/08/2019","430,05","427,20","432,80","424,45","185,84K","1,18%"
"26/08/2019","425,05","423,90","429,45","420,00","140,59K","-0,22%"
"23/08/2019","426,00","433,00","435,00","423,80","252,28K","-1,11%"
"22/08/2019","430,80","436,55","437,25","429,90","234,12K","-1,88%"
"21/08/2019","439,05","437,10","441,55","436,80","252,94K","0,98%"
"20/08/2019","434,80","436,10","444,05","434,80","226,38K","-0,72%"
"19/08/2019","437,95","436,50","439,50","433,10","217,37K","1,31%"
"16/08/2019","432,30","427,90","433,10","426,25","200,53K","1,10%"
"15/08/2019","427,60","431,00","433,10","420,35","305,20K","-0,20%"
"14/08/2019","428,45","439,90","443,05","425,20","309,25K","-2,61%"
"13/08/2019","439,95","442,00","446,00","431,30","511,44K","-1,97%"
"12/08/2019","448,80","455,45","458,60","445,70","239,56K","-1,28%"
"09/08/2019","454,60","452,70","456,70","450,80","261,40K","-0,33%"
"08/08/2019","456,10","453,60","456,10","447,75","277,47K","2,04%"
"07/08/2019","447,00","450,00","452,95","443,55","304,92K","0,07%"
"06/08/2019","446,70","449,90","450,25","441,45","369,47K","0,98%"
"05/08/2019","442,35","443,15","446,90","436,40","463,23K","-1,90%"
"02/08/2019","450,90","455,50","461,45","447,50","414,42K","-3,95%"
"01/08/2019","469,45","466,60","474,60","464,60","212,75K","-0,01%"
"31/07/2019","469,50","468,95","472,15","464,10","365,20K","-0,39%"
"30/07/2019","471,35","481,95","482,90","469,80","390,13K","-1,62%"
"29/07/2019","479,10","470,00","483,80","465,75","547,50K","1,24%"
"26/07/2019","473,25","467,00","481,55","458,40","933,24K","-7,01%"
"25/07/2019","508,90","524,00","524,70","506,40","327,76K","-2,04%"
"24/07/2019","519,50","523,00","524,30","516,20","231,14K","-0,86%"
"23/07/2019","524,00","530,40","534,20","522,40","216,87K","-0,61%"
"22/07/2019","527,20","521,30","527,80","521,10","141,19K","0,86%"
"19/07/2019","522,70","520,00","527,90","520,00","204,42K","0,60%"
"18/07/2019","519,60","513,80","521,30","512,00","222,40K","-0,95%"
"17/07/2019","524,60","528,50","534,20","524,50","143,45K","-1,13%"
"16/07/2019","530,60","520,90","531,80","519,00","189,65K","2,06%"
"15/07/2019","519,90","524,30","528,00","518,10","147,09K","-0,44%"
"12/07/2019","522,20","517,90","524,40","517,90","133,37K","0,87%"
"11/07/2019","517,70","519,00","522,70","515,20","159,55K","0,17%"
"10/07/2019","516,80","519,80","524,40","512,00","172,89K","-1,02%"
"09/07/2019","522,10","523,60","526,10","519,30","140,62K","-0,31%"
"08/07/2019","523,70","518,70","526,10","515,00","138,67K","0,29%"
"05/07/2019","522,20","528,80","528,80","518,90","165,23K","-0,93%"
"04/07/2019","527,10","527,70","530,30","524,20","103,77K","0,08%"
"03/07/2019","526,70","528,60","531,60","526,10","143,05K","0,02%"
"02/07/2019","526,60","528,50","530,00","525,30","195,31K","0,29%"
"01/07/2019","525,10","524,00","532,70","523,20","214,22K","0,96%"
"28/06/2019","520,10","514,80","523,80","514,50","290,82K","0,87%"
"27/06/2019","515,60","513,90","519,80","511,90","207,07K","1,06%"
"26/06/2019","510,20","508,90","518,60","505,60","205,75K","-0,08%"
"25/06/2019","510,60","515,50","520,90","510,60","240,64K","-1,43%"
"24/06/2019","518,00","515,00","521,10","515,00","144,86K","0,35%"
"21/06/2019","516,20","513,90","521,00","512,80","457,49K","0,62%"
"20/06/2019","513,00","516,40","520,20","513,00","247,66K","0,94%"
"19/06/2019","508,20","515,50","518,40","508,20","236,81K","-1,17%"
"18/06/2019","514,20","493,85","514,30","490,00","403,33K","4,04%"
"17/06/2019","494,25","488,70","497,45","485,95","248,98K","1,60%"
"14/06/2019","486,45","483,10","487,45","480,05","138,92K","0,30%"
"13/06/2019","485,00","484,50","486,35","482,00","166,80K","-0,44%"
"12/06/2019","487,15","489,00","489,45","481,15","245,74K","-0,70%"
"11/06/2019","490,60","482,05","497,65","482,00","346,37K","1,84%"
"10/06/2019","481,75","483,85","485,45","480,05","173,93K","0,45%"
"07/06/2019","479,60","471,50","481,95","471,50","258,92K","1,84%"
"06/06/2019","470,95","471,45","484,70","468,65","297,76K","-0,10%"
"05/06/2019","471,40","469,95","476,50","467,20","254,19K","0,63%"
"04/06/2019","468,45","461,95","471,20","455,85","291,48K","0,41%"
"03/06/2019","466,55","461,25","466,55","455,70","277,79K","0,13%"
"31/05/2019","465,95","465,10","466,70","456,20","354,09K","-1,81%"
"30/05/2019","474,55","464,75","475,05","464,00","222,11K","2,92%"
"29/05/2019","461,10","472,50","475,05","459,65","488,41K","-3,79%"
"28/05/2019","479,25","488,00","490,20","479,25","470,42K","-1,38%"
"27/05/2019","485,95","486,25","491,20","483,10","136,28K","0,67%"
"24/05/2019","482,70","493,00","495,65","479,50","362,03K","-1,73%"
"23/05/2019","491,20","505,90","506,20","488,05","333,40K","-3,40%"
"22/05/2019","508,50","510,60","521,90","506,50","287,71K","-0,31%"
"21/05/2019","510,10","505,50","510,10","499,75","222,55K","1,37%"
"20/05/2019","503,20","520,10","525,60","503,00","255,51K","-3,60%"
"17/05/2019","522,00","519,00","522,60","514,70","242,65K","0,02%"
"16/05/2019","521,90","516,60","522,70","510,90","200,94K","1,03%"
"15/05/2019","516,60","510,20","516,60","501,40","294,69K","1,59%"
"14/05/2019","508,50","495,45","510,90","493,80","251,13K","3,56%"
"13/05/2019","491,00","511,00","514,40","489,75","287,75K","-3,17%"
"10/05/2019","507,10","502,80","513,50","502,50","236,28K","1,10%"
"09/05/2019","501,60","509,50","510,40","498,05","246,13K","-2,73%"
"08/05/2019","515,70","507,00","516,30","503,20","194,76K","1,68%"
"07/05/2019","507,20","513,20","516,50","503,60","297,28K","-1,13%"
"06/05/2019","513,00","508,90","514,10","507,00","213,94K","-2,47%"
"03/05/2019","526,00","516,70","526,30","516,70","107,26K","1,11%"
"02/05/2019","520,20","524,00","524,00","514,80","220,15K","-1,29%"
"30/04/2019","527,00","524,90","527,60","523,40","229,16K","0,38%"
"29/04/2019","525,00","528,10","532,30","525,00","190,20K","-0,83%"
"26/04/2019","529,40","530,10","533,80","524,70","153,54K","0,02%"
"25/04/2019","529,30","530,60","532,80","525,40","182,85K","-0,71%"
"24/04/2019","533,10","528,70","533,10","523,10","226,91K","0,28%"
"23/04/2019","531,60","511,00","531,60","509,40","334,28K","4,15%"
"18/04/2019","510,40","507,00","524,00","496,65","662,37K","-5,04%"
"17/04/2019","537,50","535,80","539,80","533,40","240,08K","0,86%"
"16/04/2019","532,90","534,40","536,30","530,00","195,12K","0,24%"
"15/04/2019","531,60","532,10","534,50","529,70","173,42K","0,23%"
"12/04/2019","530,40","535,00","537,80","530,10","167,95K","-0,92%"
"11/04/2019","535,30","530,00","536,50","527,50","273,37K","2,23%"
"10/04/2019","523,60","519,40","524,30","517,50","132,10K","1,12%"
"09/04/2019","517,80","523,40","525,30","516,90","176,74K","-1,67%"
"08/04/2019","526,60","528,00","530,00","523,80","141,94K","-0,66%"
"05/04/2019","530,10","524,90","531,00","524,90","264,57K","1,45%"
"04/04/2019","522,50","523,90","526,80","522,30","184,21K","-0,32%"
"03/04/2019","524,20","531,30","534,90","522,60","193,01K","-0,42%"
"02/04/2019","526,40","521,00","527,00","520,00","189,50K","0,82%"
"01/04/2019","522,10","520,00","524,20","517,10","246,11K","2,13%"
"29/03/2019","511,20","510,80","513,60","508,00","211,63K","1,55%"
"28/03/2019","503,40","501,60","511,60","500,80","191,16K","0,28%"
"27/03/2019","502,00","506,20","508,80","500,40","186,10K","-0,44%"
"26/03/2019","504,20","497,80","505,80","497,10","214,33K","1,37%"
"25/03/2019","497,40","487,30","497,80","481,70","225,10K","1,06%"
"22/03/2019","492,20","504,80","507,80","490,10","241,70K","-1,56%"
"21/03/2019","500,00","503,00","504,40","495,40","178,42K","-0,56%"
"20/03/2019","502,80","512,00","512,60","502,80","245,37K","-1,30%"
"19/03/2019","509,40","498,00","512,00","497,10","232,12K","2,70%"
"18/03/2019","496,00","497,90","499,80","494,50","148,71K","-0,06%"
"15/03/2019","496,30","495,00","505,80","494,40","503,70K","0,34%"
"14/03/2019","494,60","489,30","495,00","488,10","192,64K","0,84%"
"13/03/2019","490,50","486,20","492,90","485,00","129,28K","0,59%"
"12/03/2019","487,60","490,00","490,90","486,00","147,46K","0,02%"
"11/03/2019","487,50","489,20","490,40","484,40","166,46K","0,14%"
"08/03/2019","486,80","480,30","489,70","480,00","201,72K","-0,04%"
"07/03/2019","487,00","487,10","491,00","480,30","209,19K","-0,41%"
"06/03/2019","489,00","491,00","494,10","485,80","193,36K","-0,89%"
"05/03/2019","493,40","493,00","493,40","487,90","199,16K","-0,22%"
"04/03/2019","494,50","498,20","503,80","493,60","209,95K","-0,20%"
"01/03/2019","495,50","500,00","500,80","491,80","309,69K","3,21%"
"28/02/2019","480,10","480,00","484,70","478,40","246,92K","-0,27%"
"27/02/2019","481,40","483,00","485,10","479,70","182,13K","-1,05%"
"26/02/2019","486,50","482,40","487,10","479,10","162,75K","0,60%"
"25/02/2019","483,60","482,00","487,80","481,60","177,41K","0,75%"
"22/02/2019","480,00","477,50","480,00","474,30","149,27K","0,76%"
"21/02/2019","476,40","477,50","479,50","474,30","196,46K","0,40%"
"20/02/2019","474,50","475,40","479,50","471,60","200,04K","-0,15%"
"19/02/2019","475,20","476,70","478,00","472,30","153,97K","-0,04%"
"18/02/2019","475,40","474,40","479,20","473,30","144,84K","0,40%"
"15/02/2019","473,50","465,00","477,30","462,00","291,96K","1,13%"
"14/02/2019","468,20","485,80","486,00","468,20","395,98K","-2,46%"
"13/02/2019","480,00","479,90","484,60","474,20","465,37K","3,05%"
"12/02/2019","465,80","433,00","472,40","430,70","627,47K","3,28%"
"11/02/2019","451,00","445,00","452,60","444,60","289,91K","2,29%"
"08/02/2019","440,90","439,80","445,60","437,90","196,21K","0,11%"
"07/02/2019","440,40","443,40","447,90","438,80","263,43K","-0,97%"
"06/02/2019","444,70","450,00","454,60","444,70","226,33K","-1,44%"
"05/02/2019","451,20","442,00","451,50","439,80","280,52K","2,06%"
"04/02/2019","442,10","446,20","446,20","439,40","178,51K","-0,92%"
"01/02/2019","446,20","439,70","446,20","438,60","270,68K","1,99%"
"31/01/2019","437,50","436,60","437,50","431,40","252,35K","1,20%"
"30/01/2019","432,30","426,80","439,30","426,80","351,98K","3,32%"
"29/01/2019","418,40","415,80","423,60","413,20","172,18K","0,02%"
"28/01/2019","418,30","418,00","418,90","413,90","177,22K","-0,69%"
"25/01/2019","421,20","421,40","424,70","418,00","178,85K","1,57%"
"24/01/2019","414,70","412,60","418,20","410,50","186,65K","0,48%"
"23/01/2019","412,70","405,00","416,30","402,00","227,12K","0,66%"
"22/01/2019","410,00","408,90","415,20","406,40","181,72K","-0,70%"
"21/01/2019","412,90","409,10","414,40","408,00","127,18K","0,71%"
"18/01/2019","410,00","400,90","410,80","398,60","291,72K","3,14%"
"17/01/2019","397,50","395,00","401,40","393,00","168,13K","0,13%"
"16/01/2019","397,00","398,00","400,80","396,10","200,56K","0,68%"
"15/01/2019","394,30","400,00","404,40","391,50","199,80K","-0,85%"
"14/01/2019","397,70","398,10","402,70","395,40","214,95K","-2,02%"
"11/01/2019","405,90","409,00","409,60","398,00","250,32K","0,12%"
"10/01/2019","405,40","404,40","409,70","402,90","331,16K","-3,50%"
"09/01/2019","420,10","415,90","429,80","415,90","382,55K","2,34%"
"08/01/2019","410,50","397,90","414,40","394,50","337,60K","3,56%"
"07/01/2019","396,40","400,20","402,70","393,80","221,32K","-0,25%"
"04/01/2019","397,40","386,00","398,30","382,00","355,47K","4,39%"
"03/01/2019","380,70","393,90","394,60","380,70","395,19K","-5,49%"
"02/01/2019","402,80","404,70","405,40","395,80","220,76K","-2,14%"
"31/12/2018","411,60","400,80","411,60","399,60","87,91K","3,55%"
"28/12/2018","397,50","387,20","399,50","386,50","188,94K","3,11%"
"27/12/2018","385,50","395,60","396,80","377,60","319,23K","-0,39%"
"24/12/2018","387,00","393,90","393,90","385,50","63,04K","-2,30%"
"21/12/2018","396,10","397,60","402,30","389,50","446,82K","-0,95%"
"20/12/2018","399,90","400,20","406,20","398,20","310,19K","-1,91%"
"19/12/2018","407,70","404,20","410,60","401,10","250,77K","1,29%"
"18/12/2018","402,50","401,10","409,90","395,50","283,56K","-0,15%"
"17/12/2018","403,10","402,00","404,60","395,70","231,53K","-0,32%"
"14/12/2018","404,40","405,00","408,60","399,80","262,04K","-1,70%"
"13/12/2018","411,40","414,00","419,80","408,00","297,36K","0,41%"
"12/12/2018","409,70","407,00","411,70","400,40","282,44K","2,58%"
"11/12/2018","399,40","393,70","405,10","391,10","310,02K","2,59%"
"10/12/2018","389,30","391,00","393,90","387,00","274,97K","-1,52%"
"07/12/2018","395,30","395,00","404,10","394,50","265,01K","1,13%"
"06/12/2018","390,90","397,40","397,70","388,10","296,27K","-3,05%"
"05/12/2018","403,20","397,90","406,60","395,20","244,23K","-0,54%"
"04/12/2018","405,40","408,00","411,50","404,80","294,50K","-1,96%"
"03/12/2018","413,50","400,00","417,40","399,10","534,59K","7,68%"
"30/11/2018","384,00","389,10","389,20","381,00","358,03K","-1,21%"
"29/11/2018","388,70","393,00","396,60","387,10","216,18K","0,21%"
"28/11/2018","387,90","388,40","396,90","385,70","212,68K","0,13%"
"27/11/2018","387,40","390,90","392,40","383,70","193,26K","-0,56%"
"26/11/2018","389,60","394,80","397,20","385,20","190,98K","-0,18%"
"23/11/2018","390,30","388,00","391,50","386,70","174,54K","0,59%"
"22/11/2018","388,00","381,50","390,50","380,50","218,04K","1,31%"
"21/11/2018","383,00","377,70","383,00","373,80","238,22K","2,35%"
"20/11/2018","374,20","380,10","381,00","369,10","284,95K","-2,20%"
"19/11/2018","382,60","391,50","396,00","381,90","182,30K","-1,80%"
"16/11/2018","389,60","395,30","399,20","386,50","224,81K","-0,84%"
"15/11/2018","392,90","401,30","403,00","387,40","225,87K","-1,18%"
"14/11/2018","397,60","396,60","404,50","390,70","238,72K","-0,80%"
